IncidentId;UniqueId;Name;Location;Latitude;Longitude;AcresBurnedDisplay;PercentContainedDisplay;ExternalIncidentLink;CountiesList;UpdatedDate;StartedDate;AdminUnit;IncidentTypeDisplay;Url;IsActive;
1268;a97e2077-2013-459a-baa7-276781503e3c;Aqueduct Fire;25th Ave & Ultica Ave, south of Kettleman City;35.92436;-119.94083;30;100%;;Fresno;2019-01-03 09:46:00;2018-04-12;CAL FIRE / Fresno County Fire;;https://www.fire.ca.gov/incidents/2018/4/12/aqueduct-fire/;N;
1683;23cbd274-ded3-43ea-9174-b5615eac3244;Montecito Flooding / Mudflows;Montecito, Summerland and Carpenteria;0.0;0.0;0;100%;;Santa Barbara, Ventura;2019-01-03 09:43:00;2018-01-09;Ventura County Fire and Santa Barbara County Fire ;;https://www.fire.ca.gov/incidents/2018/1/9/montecito-flooding-mudflows/;N;
1705;9d0be6f9-d61b-467d-be68-c8a48c0cf930;Haycamp Fire;Nacimento Fergusson Road and Hayfork Road, west of the community of Lockwood;35.96689;-121.28185;50;100%;;Monterey;2019-01-03 09:43:00;2018-02-07;Fort Hunter Liggett Military Base;;https://www.fire.ca.gov/incidents/2018/2/7/haycamp-fire/;N;
1706;3d866877-330a-4a14-b5bd-48675955af64;Pleasant Fire;Pleasant Valley Dam Road and Hwy 395, north of Bishop;37.40208;-118.50235;2,070;100%;;Inyo;2019-01-03 09:43:00;2018-02-18;Unified Command: CAL FIRE San Bernardino Unit and Inyo County Sheriff's Office;;https://www.fire.ca.gov/incidents/2018/2/18/pleasant-fire/;N;
1707;485eb9e1-80a1-4b95-a71e-8e43ccb1dd80;Wilcox Fire;Road 136 and Avenue 440, Community of Orosi;0.0;0.0;33;100%;;Tulare;2019-01-03 09:44:00;2018-02-18;CAL FIRE Tulare Unit;;https://www.fire.ca.gov/incidents/2018/2/18/wilcox-fire/;N;
1708;f78b2acd-fff2-413a-93d6-8479e138120b;Grant Fire;Grant Line Road and I-580, east of Livermore;37.73835;-121.6039;12;100%;;Alameda;2019-01-04 10:25:00;2018-05-14;CAL FIRE Santa Clara Unit;;https://www.fire.ca.gov/incidents/2018/5/14/grant-fire/;N;
1709;82aa9789-b558-46a0-ae5d-683e18423b17;Twisselman Fire;Twisselman Road and Kecks Road, west of Highway 33;0.0;0.0;293;100%;;Kern;2019-01-04 10:25:00;2018-05-16;Kern County Fire;;https://www.fire.ca.gov/incidents/2018/5/16/twisselman-fire/;N;
1710;693a86e6-8985-4e70-8ba8-869786ff538b;Patterson Fire;off Rawson Road and Royal Netherlands Road, south of Winchester;33.62924;-117.05992;1,261;100%;;Riverside;2019-01-04 10:24:00;2018-05-17;CAL FIRE / Riverside County Fire;;https://www.fire.ca.gov/incidents/2018/5/17/patterson-fire/;N;
1711;8b34406c-93b7-4a40-a832-2fc525876e59;Tyler Fire;Tyler Street and Vista Del Sur, Coachella, City of Coachella;33.711263;-116.164058;15;100%;;Riverside;2019-01-03 09:46:00;2018-04-15;CAL FIRE/Riverside County Fire Department;;https://www.fire.ca.gov/incidents/2018/4/15/tyler-fire/;N;
1712;f87005f7-c31b-4135-989a-ee5611626b3c;Santa Cruz Fire;Channel Islands National Park, Santa Cruz Island;34.0232;-119.76576;258;100%;;Santa Barbara;2019-01-03 09:44:00;2018-03-27;Channel Islands National Park;;https://www.fire.ca.gov/incidents/2018/3/27/santa-cruz-fire/;N;
1713;958c8ac0-6111-4d29-b5ac-8ca0e7a2f484;Rock Fire;Rock Creek Rd, SE of Shingletown;40.4635;-121.77419;11;100%;;Shasta;2019-01-03 09:45:00;2018-03-27;CAL FIRE Shasta Trinity Unit;;https://www.fire.ca.gov/incidents/2018/3/27/rock-fire/;N;
1714;9a49cf24-0e41-4817-b0d0-966e7b5c7e77;Meadow Fire;Tin Mine Rd, north of the Cajalco Expressway;33.86439;-117.48144;21;100%;;Riverside;2019-01-03 09:46:00;2018-04-09;CAL FIRE / Riverside County Fire;;https://www.fire.ca.gov/incidents/2018/4/9/meadow-fire/;N;
1715;81cf4d22-336d-4035-b2c3-5b5a8cf2fcc2;Volcan Fire;Volcan Road and Farmer Road, north of the community of Julian;33.12213;-116.58759;12;100%;;San Diego;2019-01-04 10:25:00;2018-05-10;CAL FIRE San Diego Unit;;https://www.fire.ca.gov/incidents/2018/5/10/volcan-fire/;N;
1716;e84f2881-743c-4e36-863d-ddb37c2540d3;Shastina Fire;west of Rancho Hills, community of Lake Shastina, north of Weed;41.65935;-122.48556;127;100%;;Siskiyou;2019-01-04 10:25:00;2018-05-09;CAL FIRE Siskiyou Unit;;https://www.fire.ca.gov/incidents/2018/5/9/shastina-fire/;N;
1717;fb8c9354-384c-45ab-b209-4a0f6d234516;Lago Fire;Via Del Lago and Alta Calle, Lake Perris, Moreno Valley;33.88744;-117.16232;18;100%;;Riverside;2019-01-03 13:10:00;2018-04-22;CAL FIRE/Riverside County Fire Department;;https://www.fire.ca.gov/incidents/2018/4/22/lago-fire/;N;
1718;508b3f52-3a8e-4572-99a9-73c28bbdfbef;French Fire;Frenchman Lake Rd., south of Frenchman Lake, 7 miles north of Chilcoot;39.89075;-120.18499;20;100%;;Plumas;2019-01-04 10:27:00;2018-04-26;USFS - Plumas National Forest;;https://www.fire.ca.gov/incidents/2018/4/26/french-fire/;N;
1719;1a08a7d9-47b2-42ba-94c1-a2e15415b887;Happy Fire;Alisos Canyon Rd, Santa Ynez, north of Santa Barbara ;34.74245;-120.18236;60;100%;;Santa Barbara;2019-01-04 10:25:00;2018-05-17;Santa Barbara County Fire;;https://www.fire.ca.gov/incidents/2018/5/17/happy-fire/;N;
1720;f96cf1fb-78d6-4763-a754-23aac25a3b96;Jacques Fire;De Luz Rd and Wisecarver fuel break, Camp Pendleton Marine Corps Base;33.40178;-117.27467;18;100%;;San Diego;2019-01-04 10:26:00;2018-05-09;Unified Command: CAL FIRE and Camp Pendleton Fire;;https://www.fire.ca.gov/incidents/2018/5/9/jacques-fire/;N;
1721;32708961-025a-4bf7-88c1-8cd91bbc3cce;Alpha Fire;Basilone Rd and San Juan Rd, Camp Pendleton Marine Corps Base;33.389425;-117.502405;300;100%;;San Diego;2019-01-04 10:26:00;2018-05-04;Department of Defense - Camp Pendleton ;;https://www.fire.ca.gov/incidents/2018/5/4/alpha-fire/;N;
1722;92c441f3-4729-4ba5-890f-fb7693725275;Nees Fire;Interstate 5 and W Nees Ave. south of Los Banos ;36.85156;-120.77206;1,756;100%;;Merced;2019-01-04 10:26:00;2018-05-02;CAL FIRE Madera-Mariposa-Merced Unit ;;https://www.fire.ca.gov/incidents/2018/5/2/nees-fire/;N;
1723;57ef80d4-4674-4a3a-9fd6-3f1d792a1953;Tornado Fire;Via Santa Rosa near Via Tornado, southwest of Temecula;33.504964;-117.148204;70;100%;;Riverside;2019-01-04 10:26:00;2018-05-04;CAL FIRE/ Riverside County Fire;;https://www.fire.ca.gov/incidents/2018/5/4/tornado-fire/;N;
