IncidentId;UniqueId;Name;Location;Latitude;Longitude;AcresBurnedDisplay;PercentContainedDisplay;ExternalIncidentLink;CountiesList;UpdatedDate;StartedDate;AdminUnit;IncidentTypeDisplay;Url;IsActive;
144;2ca11d45-8139-4c16-8af0-880d99b21e82; Bridge Fire;I-5 and Turntable Bay, 7 miles NE of Shasta Lake ;40.774;-122.309;37;100%;;Shasta;2018-01-09 13:46:00;2017-10-31; Shasta-Trinity National Forest ;;https://www.fire.ca.gov/incidents/2017/10/31/bridge-fire/;N;
1269;afb8c00c-ef91-4544-90ce-54722be124af;Oroville Spillway ;Oroville Dam, Canyon Dr. & Oroville Dam Rd, Oroville, CA 95966;39.51158;-121.55633;0;100%;;Butte;2018-01-09 09:24:00;2017-02-07;Unified Command;;https://www.fire.ca.gov/incidents/2017/2/7/oroville-spillway/;N;
1270;95960fa6-58ba-4b4e-aeb2-ada97d699908;Grace Fire;Grace Resort Rd and Bluebush Way, 2 miles SE of the Community of Shingletown;40.48712;-121.85645;45;100%;;Shasta;2018-01-09 09:41:00;2017-04-03;CAL FIRE Shasta-Trintiy Unit;;https://www.fire.ca.gov/incidents/2017/4/3/grace-fire/;N;
1271;31b0e75c-b0e2-4796-b8a7-efc49e4c59a5;West Fire;Likely, 15 Miles south of Alturas;41.16716;-120.58342;380;100%;;Modoc;2018-01-09 09:40:00;2017-04-03;CAL FIRE Lassen-Modoc Unit;;https://www.fire.ca.gov/incidents/2017/4/3/west-fire/;N;
1272;b12ae71e-c6c8-4eab-9aab-d17d1879a639;66 Fire;Avenue 66 and Hwy 111 near community of Mecca;33.56777;-116.08003;15;100%;;Riverside;2018-01-09 09:50:00;2017-04-13;CAL FIRE Riverside Unit;;https://www.fire.ca.gov/incidents/2017/4/13/66-fire/;N;
1273;0cacf259-1ba3-4e8c-a938-feaab2655c4b;Jayne Fire;Off of Hwy 33 and Lost Hills south of Coalinga;36.07228;-120.26561;5,738;100%;;Fresno;2018-01-09 09:51:00;2017-04-20;CAL FIRE Fresno Kings Unit;;https://www.fire.ca.gov/incidents/2017/4/20/jayne-fire/;N;
1274;b8bdbd12-e3a2-49e0-8d65-7c18b8d584bf;Soledad Fire;Highway 101 & Front Street, north of Soledad ;36.44141;-121.34695;10;100%;;Monterey;2018-01-09 09:51:00;2017-04-24;CAL FIRE San Benito-Monterey Unit ;;https://www.fire.ca.gov/incidents/2017/4/24/soledad-fire/;N;
1275;17a7d561-bee7-454d-a0aa-ac450907f6fd;El Dorado Fire; El Dorado Ave & Kamm Ave, northeast of Coalinga;36.530836;-120.206592;976;100%;;Fresno;2018-01-09 09:52:00;2017-04-28;Fresno County Fire ;;https://www.fire.ca.gov/incidents/2017/4/28/el-dorado-fire/;N;
1276;d804eebf-71de-46de-90c2-cdf0694d27e3;Tumey Fire;Panoche Rd, 5 miles west of I-5;36.5355;-120.6585;126;100%;;Fresno;2018-01-09 09:52:00;2017-04-29;CAL FIRE Fresno-Kings Unit;;https://www.fire.ca.gov/incidents/2017/4/29/tumey-fire/;N;
1277;45699833-fa34-4eed-9520-8c8019426122;Tower Fire;Cleghorn Road, east of I-15, north of the community of Devore;34.30104;-117.45646;150;100%;;San Bernardino;2018-01-09 09:53:00;2017-04-30;USFS - San Bernardino National Forest;;https://www.fire.ca.gov/incidents/2017/4/30/tower-fire/;N;
1278;c254df3f-a241-4983-a880-e12944a9f7b2;Opera Fire;off Opera Loop & East Palmyrita Avenue, in Highgrove ;34.00566;-117.30693;1,350;100%;;Riverside;2018-01-09 09:53:00;2017-04-30;CAL FIRE/Riverside County Fire;;https://www.fire.ca.gov/incidents/2017/4/30/opera-fire/;N;
