IncidentId;UniqueId;Name;Location;Latitude;Longitude;AcresBurnedDisplay;PercentContainedDisplay;ExternalIncidentLink;CountiesList;UpdatedDate;StartedDate;AdminUnit;IncidentTypeDisplay;Url;IsActive
2005;6004d3e5-66f8-487a-80a4-689d3852378c;Pilot Fire;Pilot Ridge Rd & USFS Route 1, southwest of Willow Creek;40.61805556;-123.67555556;30;100%;;Humboldt;2019-01-15 10:38:00;2019-01-01;CAL FIRE Humbolt-Del Norte Unit;;https://www.fire.ca.gov/incidents/2019/1/1/pilot-fire/;N;
2014;31cbc968-6d9d-412b-8bc3-6846ca398fe2;Scott Fire;off Scott Forbes Rd, 5 miles east of Browns Valley;39.24678;-121.32399;80;100%;;Yuba;2019-06-27 08:24:51;2019-06-25;CAL FIRE Nevada-Yuba-Placer Unit;;https://www.fire.ca.gov/incidents/2019/6/25/scott-fire/;N;
2016;3b5c5d57-f61d-4c7d-a966-9d522c77e8fc;Girasol Fire;Hwy 111 and Tramway Rd, Palm Springs;0.0;0.0;30;100%;;Riverside;2019-04-10 10:23:00;2019-04-09;Palm Springs City Fire;;https://www.fire.ca.gov/incidents/2019/4/9/girasol-fire/;N;
2017;85bdd89a-4ce5-4539-a274-23fa2b030e7d;York Fire;Hwy 41 and York Ave, 13 miles south of Avenal (Kings County);35.81778;-120.09715;161;100%;;Kings;2019-06-24 11:45:00;2019-04-28;Fresno-Kings County;;https://www.fire.ca.gov/incidents/2019/4/28/york-fire/;N;
2018;34abbc65-5bbe-474b-85c8-16d07bb5b503;Cana Fire;Off Hamilton Nord Cana Hwy & Cana Hwy, northeast of Chico;39.83958;-121.957;10;100%;;Butte;2019-05-08 08:47:00;2019-04-30;CAL FIRE / Butte County Fire;;https://www.fire.ca.gov/incidents/2019/4/30/cana-fire/;N;
2019;d3beabf6-63e9-4cad-a17c-58bb36abd7ac;Woody Fire;Woody Rd & Horseshoe Ranch Rd, northeast of Bakersfield;35.65189;-118.92545;115;100%;;Kern;2019-05-08 08:47:00;2019-04-30;Kern County Fire Department;;https://www.fire.ca.gov/incidents/2019/4/30/woody-fire/;N;
2020;398bb669-190d-4dbf-9af0-6ccb27817c13;Meridian Fire;Off Munjar Rd, north of Chico;39.85484;-121.905;50;100%;;Butte;2019-05-08 08:47:00;2019-05-01;CAL FIRE Butte Unit;;https://www.fire.ca.gov/incidents/2019/5/1/meridian-fire/;N;
2021;ee290ec6-3815-4c44-a96a-edb331fcc925;Vulcan Fire;Off Highway 166 at Wind Wolves Preserve;35.03855;-119.19454;172;100%;;Kern;2019-05-08 08:48:00;2019-05-03;Kern County Fire;;https://www.fire.ca.gov/incidents/2019/5/3/vulcan-fire/;N;
2022;6f329208-5aa0-45fc-a4ec-db9caf865ca7;Refuge Fire;off Twisselmen Road, in the Kern National Wildlife Refuge,15 miles west of Delano;35.72057;-119.62762;2,500;100%;;Kern;2019-05-09 09:37:00;2019-05-07;Kern County Fire and the US Fish and Wildlife Service;;https://www.fire.ca.gov/incidents/2019/5/7/refuge-fire/;N;
2024;0888bb9d-0d9b-4a49-bf3d-a55a7c40a707;Sugar Fire;Sugar Pine Road and Big Reservoir Lane, northeast of Foresthill;39.11536;-120.76088;65;100%;;Placer;2019-05-24 14:28:00;2019-05-10;US Forest Service - Tahoe National Forest;;https://www.fire.ca.gov/incidents/2019/5/10/sugar-fire/;N;
