260,9/1/2022,244,0.23,R,0, ,724,R,5.8, ,99.5,Y,--,S,--,S,52, ,8, ,--,Q,--,Q,3.6, ,87.1, ,--,S
260,9/2/2022,245,0.32, ,0, ,564, ,6.4, ,100.1,Y,51.1, ,79.2,R,41, ,7, ,--,R,--,I,7.8,Y,186.7,Y,72.8,R
260,9/3/2022,246,0.23, ,0, ,518, ,8.8, ,89.5, ,55.1,Y,73.9,Y,61, ,11, ,31,Y,41.3,Y,6.3, ,151.6, ,72.5,R
260,9/4/2022,247,0.23, ,0, ,503, ,8.6, ,92.4, ,50.9, ,73.0, ,57, ,17, ,31, ,40.5, ,5.4, ,129.7, ,72.1,R
260,9/5/2022,248,0.22, ,0, ,529, ,8.9, ,98.8, ,48.9, ,76.7,Y,54, ,13, ,29,Y,41.6,Y,3.5, ,84.2, ,72.2,R
260,9/6/2022,249,0.22,R,0, ,485, ,9.4, ,104.9,Y,56.3,Y,81.7,R,52,H,13,H,--,R,--,I,3.8, ,90.7, ,72.9,R
260,9/7/2022,250,0.22,R,0, ,383, ,9.6, ,101.0,Y,61.0,R,81.4,R,42,H,15,H,--,R,--,I,6.5, ,156.0, ,72.8,R
260,9/8/2022,251,0.27,R,0, ,543, ,8.1, ,94.9, ,59.8,R,78.5,R,45,H,12,H,--,R,--,I,8.3,R,199.6,R,72.6,R
260,9/9/2022,252,0.24, ,0, ,526, ,4.8, ,96.0, ,53.4,Y,77.6,Y,25,H,10,H,15,Y,26.1,Y,6.4, ,153.5, ,71.8,R
260,9/10/2022,253,0.23, ,0, ,451, ,6.0, ,98.2, ,55.2,Y,77.2,Y,28,H,12,H,19,Y,31.6,Y,4.8, ,115.8, ,71.5,R
260,9/11/2022,254,0.13, ,0, ,224, ,7.7, ,84.5, ,57.4,R,73.1,Y,41, ,20, ,28,Y,37.9,Y,4.3, ,103.4, ,70.5,Y
260,9/12/2022,255,0.21, ,0, ,498, ,9.0, ,90.1, ,57.5,R,73.7,Y,56, ,18, ,32,Y,41.8,Y,4.8, ,116.3, ,71.0,Y
260,9/13/2022,256,0.20, ,0, ,497, ,10.8, ,84.8, ,50.9,Y,67.3, ,77, ,23, ,47, ,46.6, ,7.0,Y,168.3,Y,70.7,Y
260,9/14/2022,257,0.18, ,0, ,477, ,9.6, ,81.0, ,50.3,Y,64.6, ,77, ,19, ,46, ,43.5, ,5.7, ,136.7, ,70.0,Y
260,9/15/2022,258,0.18, ,0, ,509, ,9.6, ,79.8, ,44.9, ,62.3, ,78, ,24, ,50, ,43.4, ,5.1, ,122.7, ,69.2,Y
260,9/16/2022,259,0.18, ,0, ,498, ,9.3, ,80.2, ,46.0, ,62.8, ,81, ,21, ,48, ,42.6, ,5.4, ,130.4, ,68.9,Y
260,9/17/2022,260,0.10, ,0.27, ,287, ,10.4, ,72.1, ,46.0, ,56.1, ,96, ,41, ,68, ,45.6, ,5.6, ,134.1, ,67.2,Y
260,9/18/2022,261,0.09, ,0.03, ,239, ,11.2, ,64.0, ,48.3, ,54.9, ,95, ,52, ,76, ,47.4, ,7.0,Y,168.6,Y,65.1, 
260,9/19/2022,262,0.15, ,0.27, ,463, ,10.9, ,71.1, ,48.9, ,58.5, ,94, ,35, ,65, ,46.8, ,4.7, ,112.7, ,64.9, 
260,9/20/2022,263,0.10, ,0, ,349, ,12.3, ,68.3, ,49.0, ,57.9, ,99, ,48, ,75, ,50.0, ,4.7, ,113.4, ,64.9, 
260,9/21/2022,264,0.11, ,0, ,350, ,11.2, ,67.6, ,44.8, ,55.2, ,97, ,46, ,75, ,47.6, ,4.8, ,115.8, ,64.0, 
260,9/22/2022,265,0.15, ,0, ,485, ,10.7, ,74.8, ,39.7, ,58.6, ,100, ,36, ,63, ,46.3, ,4.6, ,110.5, ,63.6, 
260,9/23/2022,266,0.15, ,0, ,494, ,9.5, ,82.2, ,40.2, ,61.8, ,91, ,21, ,50, ,43.1, ,3.7, ,88.6, ,63.8, 
260,9/24/2022,267,0.16, ,0, ,487, ,8.6, ,87.0, ,40.6, ,64.5, ,89, ,16, ,41, ,40.6, ,2.9, ,70.0, ,63.7, 
260,9/25/2022,268,0.17, ,0, ,473, ,8.1, ,90.8, ,42.5, ,67.1, ,76, ,14, ,36, ,39.1, ,3.7, ,88.5, ,63.9, 
260,9/26/2022,269,0.18, ,0, ,462, ,9.2, ,91.3, ,46.1, ,69.4, ,68, ,22, ,37, ,42.3, ,3.9, ,93.4, ,64.4, 
260,9/27/2022,270,0.21, ,0, ,428, ,8.3, ,88.2, ,45.4, ,68.2, ,76, ,18, ,35, ,39.7, ,7.0, ,167.1, ,64.2, 
260,9/28/2022,271,0.16, ,0, ,321, ,8.8, ,78.1, ,54.1,Y,64.3, ,66, ,30, ,43, ,41.2, ,8.4,Y,201.5,Y,63.5, 
260,9/29/2022,272,0.15, ,0, ,459, ,9.2, ,74.1, ,40.8, ,58.2, ,88, ,33, ,56, ,42.3, ,6.7, ,161.6, ,63.0, 
260,9/30/2022,273,0.15, ,0, ,459, ,8.5, ,79.8, ,37.2, ,60.7, ,90, ,23, ,47, ,40.2, ,4.7, ,112.9, ,62.7, 
